Date,Portfolio_Value,Daily_Return
2010-01-04,100.0,
2010-01-05,100.0,0.0
2010-01-06,100.0,0.0
2010-01-07,100.0,0.0
2010-01-08,100.0,0.0
2010-01-11,100.0,0.0
2010-01-12,100.0,0.0
2010-01-13,100.0,0.0
2010-01-14,100.0,0.0
2010-01-15,100.0,0.0
2010-01-18,100.0,0.0
2010-01-19,100.0,0.0
2010-01-20,100.0,0.0
2010-01-21,100.0,0.0
2010-01-22,100.0,0.0
2010-01-26,100.0,0.0
2010-01-27,100.0,0.0
2010-01-28,100.0,0.0
2010-01-29,100.0,0.0
2010-02-01,100.0,0.0
2010-02-02,100.0,0.0
2010-02-03,100.0,0.0
2010-02-04,100.0,0.0
2010-02-05,98.35158131823442,-0.016484186817655733
2010-02-08,98.90058497825883,0.005582052191392739
2010-02-09,101.10363812681828,0.02227543091927875
2010-02-10,101.57240279037758,0.004636476710870641
2010-02-11,103.08990521475272,0.014940105606312315
2010-02-12,102.70419495104326,-0.0037414940183130296
2010-02-17,104.71720837113274,0.01960010904178766
2010-02-18,105.49285200362877,0.007407031227828709
2010-02-19,105.15641129915225,-0.003189227498228364
2010-02-22,104.57503050020334,-0.005528724228663351
2010-02-23,103.06034347921293,-0.01448421304536407
2010-02-24,102.61973284950105,-0.004275268399437926
2010-02-25,103.07864360121374,0.004471954262302846
2010-02-26,103.61638564769919,0.005216813373736473
2010-03-01,104.63696937466761,0.009849636431427777
2010-03-02,105.41261300716363,0.00741271117781217
2010-03-03,105.21835017361656,-0.001842880353737919
2010-03-04,105.46329026808895,0.0023279218317742156
2010-03-05,106.91603841461507,0.013774917725714708
2010-03-08,106.91603841461507,0.0
2010-03-09,106.91603841461507,0.0
2010-03-10,106.91603841461507,0.0
2010-03-11,106.91603841461507,0.0
2010-03-12,106.91603841461507,0.0
2010-03-15,106.91603841461507,0.0
2010-03-16,106.91603841461507,0.0
2010-03-17,106.91603841461507,0.0
2010-03-18,106.91603841461507,0.0
2010-03-19,106.91603841461507,0.0
2010-03-22,106.91603841461507,0.0
2010-03-23,106.91603841461507,0.0
2010-03-24,106.91603841461507,0.0
2010-03-25,106.91603841461507,0.0
2010-03-26,106.91603841461507,0.0
2010-03-29,106.91603841461507,0.0
2010-03-30,106.91603841461507,0.0
2010-03-31,106.91603841461507,0.0
2010-04-01,106.91603841461507,0.0
2010-04-05,106.91603841461507,0.0
2010-04-06,106.91603841461507,0.0
2010-04-07,106.91603841461507,0.0
2010-04-08,106.91603841461507,0.0
2010-04-09,106.91603841461507,0.0
2010-04-12,106.91603841461507,0.0
2010-04-13,106.91603841461507,0.0
2010-04-14,106.91603841461507,0.0
2010-04-15,106.91603841461507,0.0
2010-04-16,106.91603841461507,0.0
2010-04-19,106.91603841461507,0.0
2010-04-20,106.91603841461507,0.0
2010-04-22,106.91603841461507,0.0
2010-04-23,106.91603841461507,0.0
2010-04-26,106.91603841461507,0.0
2010-04-27,106.91603841461507,0.0
2010-04-28,107.11224656063602,0.0018351610191547074
2010-04-29,108.90112358849609,0.016700957036200004
2010-04-30,108.29490807527272,-0.0055666598584791505
2010-05-03,107.73875946827536,-0.005135500984134844
2010-05-04,104.69415030588117,-0.028259181537083733
2010-05-05,104.75504248912905,0.0005816197282271229
2010-05-06,102.72530304753293,-0.019376054778525442
2010-05-07,101.99053736967514,-0.007152723390047355
2010-05-10,105.48439552847594,0.03425668938420201
2010-05-11,104.09334743116871,-0.013187240542433587
2010-05-12,105.17452197372559,0.010386586359630634
2010-05-13,104.58454437603497,-0.005609510617390789
